X,Y,OBJECTID,CRIMEID,CCN,REPORTDATE,ROUTEID,MEASURE,OFFSET,STREETSEGID,ROADWAYSEGID,FROMDATE,TODATE,MAR_ID,ADDRESS,LATITUDE,LONGITUDE,XCOORD,YCOORD,WARD,EVENTID,MAR_ADDRESS,MAR_SCORE,MAJORINJURIES_BICYCLIST,MINORINJURIES_BICYCLIST,UNKNOWNINJURIES_BICYCLIST,FATAL_BICYCLIST,MAJORINJURIES_DRIVER,MINORINJURIES_DRIVER,UNKNOWNINJURIES_DRIVER,FATAL_DRIVER,MAJORINJURIES_PEDESTRIAN,MINORINJURIES_PEDESTRIAN,UNKNOWNINJURIES_PEDESTRIAN,FATAL_PEDESTRIAN,TOTAL_VEHICLES,TOTAL_BICYCLES,TOTAL_PEDESTRIANS,PEDESTRIANSIMPAIRED,BICYCLISTSIMPAIRED,DRIVERSIMPAIRED,TOTAL_TAXIS,TOTAL_GOVERNMENT,SPEEDING_INVOLVED,NEARESTINTROUTEID,NEARESTINTSTREETNAME,OFFINTERSECTION,INTAPPROACHDIRECTION,LOCATIONERROR,LASTUPDATEDATE,MPDLATITUDE,MPDLONGITUDE,MPDGEOX,MPDGEOY,FATALPASSENGER,MAJORINJURIESPASSENGER,MINORINJURIESPASSENGER,UNKNOWNINJURIESPASSENGER
-77.014932771207,38.9747716719594,110337558,27508559,17205882,2017/11/29 13:47:03+00,11058822,231.25,6.67,7426,21011,2017/11/29 05:00:00+00,,280093,600 MAPLE AVE NW,38.974764,-77.014931,398706.214,145204.825,Ward 4,{207AE5D8-B48D-4BCA-839A-185F0CD5ABF8},110 CARROLL STREET NW,200,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11020862,CARROLL ST NW,14.88,South,,,38.974735,-77.014863,,,0,0,0,0
-77.0416583886934,38.9162396144386,110337624,27475542,17185776,2017/10/27 11:32:09+00,11001802,2681.38,5.46,7471,18817,2017/10/26 04:00:00+00,,226433,1916 18TH STREET NW,38.916232,-77.041656,396387.412,138707.954,Ward 2,{DA8DFF14-A8C0-4EFF-ADD7-3A5056793B87},1918 18TH STREET NW,200,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11093402,WILLARD ST NW,6.42,South,,,38.916232,-77.041719,396365.49,138693.53,0,0,0,0
-77.0330233951708,38.9038396672333,110337633,27475571,17186365,2017/10/27 13:20:11+00,11089442,280.94,6.03,2222,8199,2017/10/27 04:00:00+00,,240250,L STREET NW & VERMONT AVENUE NW,38.903832,-77.033021,397135.762,137331.159,Ward 2,{6E526BEE-E2E2-4B88-8038-E003356746CF},1100 VERMONT AVENUE NW,200,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11053492,L ST NW,11.49,North,,,38.903855,-77.033084,397130.88,137320.79,0,0,0,0
-77.0345638088575,38.9148360786215,110337658,27480611,17189485,2017/11/01 14:36:08+00,11084172,226.3,8.14,6385,16172,2017/11/01 04:00:00+00,,242175,15TH STREET NW & SWANN STREET NW,38.914755,-77.034539,397004.606,138543.732,Ward 2,{E47BECAA-FCBC-4DA3-BA94-B8E953923D5A},1818 15TH STREET NW,200,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11001502,15TH ST NW,2.08,West,,,38.914755,-77.034566,397004.7,138551.83,0,0,0,0
-77.0132797379892,38.9512339542972,110337668,27482994,17191229,2017/11/04 04:30:31+00,11000202,1913.28,1.03,2902,3474,2017/11/03 04:00:00+00,,303980,4998,38.951226,-77.013277,398849.107,142591.915,Ward 4,{0FA791B6-B2E0-4A70-BC79-01BB885F5205},4939 NEW HAMPSHIRE AVENUE NW,200,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,11034972,FARRAGUT ST NW,3.74,Northwest,,,38.951234,-77.013271,,,0,0,0,0
-77.0090654788103,38.9002198760724,110337680,27485704,17192526,2017/11/06 18:29:19+00,15065322,567.12,0.88,9549,10261,2017/11/06 05:00:00+00,,279920,800 NORTH CAPITOL STREET NW,38.900208,-77.009053,399214.71,136928.417,Ward 6,{CC19DFB0-4BE7-4799-AF1F-77F7C9ADC5B9},732 NORTH CAPITOL STREET NW,200,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,11042442,H ST NW,0.47,North,,,38.900212,-77.009053,399156.14,136961.34,0,0,0,0
-77.018930667778,38.9147185763577,110337720,27494947,17198108,2017/11/16 01:17:57+00,11000502,2191.06,16.94,6120,14538,2017/11/15 05:00:00+00,,242991,1817 5TH STREET NW,38.914711,-77.018928,398358.418,138538.452,Ward 2,{627943CC-DE70-43B5-8B09-71CE55295F6C},1817 5TH STREET NW,200,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,47008562,Alley-47008562,19,North,,,38.91471,-77.018733,398375.37,138538.31,0,0,0,0
-77.0394481189401,38.9025308862925,110337762,27500919,17201762,2017/11/22 00:10:48+00,11001702,1403.68,13.01,7364,8010,2017/11/21 05:00:00+00,,294825,912 17TH STREET NW,38.902523,-77.039296,396591.434,137186.124,Ward 2,{9B588255-3870-4BDD-ADB2-5636A07BF810},,200,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11025152,CONNECTICUT AVE NW,0,East,,,38.902529,-77.039296,396557.84,137130.57,0,0,0,0
-77.0411164082571,38.9013446039228,110337808,27467637,17181265,2017/10/19 17:32:03+00,11047772,2531.62,5.02,-9,34340,2017/10/19 04:00:00+00,,317212,1725 I STREET NW,38.901822,-77.040197,396513.27,137108.302,Ward 2,{FCF73125-B7BB-4B88-BABA-1241841B2970},1770 I STREET NW,200,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,47049142,Alley-47049142,45.3,West,,,38.901382,-77.041114,396499.6,137085.84,0,0,0,0
-77.011914286098,38.8961303277486,110337830,27470000,17182991,2017/10/22 05:03:49+00,11031332,247.53,3.49,4398,4904,2017/10/21 04:00:00+00,,295811,45 E STREET NW,38.896154,-77.011912,398966.651,136474.94,Ward 6,{44A72D4F-B1A0-4623-A441-CEC76750221D},500 NEW JERSEY AVENUE NW,200,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11000102,1ST ST NW,21.89,East,,,38.896154,-77.011912,399037.65,136509.52,0,0,0,0
